query,position,title,body,posted,source,link
noticias destacadas,1,"Las noticias más destacadas de la Comunidad Valenciana en 2023: del cambio 
de Gobierno a la ampliación del puerto","Las áreas del cambio: El cambio que propugnaba Carlos Mazón ya se entrevé. 
En la primera reunión del Gobierno autonómico, se aprobó la prometida 
supresión del...",31 dic 2023,EL PAÍS,https://elpais.com/espana/comunidad-valenciana/2023-12-31/las-noticias-mas-destacadas-de-la-comunidad-valenciana-en-2023-del-cambio-de-gobierno-a-la-ampliacion-del-puerto.html
noticias destacadas,2,Las cinco noticias destacadas de este viernes 20 de septiembre en Alicante,"El Ayuntamiento ha levantado 50 actas de suspensión de la actividad en 
pisos vacacionales que se encuentran en la playa de San Juan y la zona 
centro. Estas...",Hace 1 mes,Todo Alicante,https://www.todoalicante.es/alicante-provincia/cinco-noticias-destacadas-viernes-septiembre-alicante-20240920214409-nt.html
noticias destacadas,3,Las propiedades saludables del AOVE: 20 noticias destacadas en 2023,"Un nuevo beneficio se suma al aceite de oliva virgen extra: la capacidad de 
frenar una infección gástrica producida por la bacteria Helicobacter pylori 
que, con...",26 dic 2023,Mercacei,https://www.mercacei.com/noticia/60126/actualidad/las-propiedades-saludables-del-aove:-20-noticias-destacadas-en-2023.html
noticias destacadas,4,"Estas son las cinco noticias más destacadas de este lunes 5 de agosto en 
Alicante","Desalojan a más de 200 pasajeros del Tram de Alicante por un falso aviso de 
bomba. La Policía Nacional ha detenido al responsable de sembrar el caos en 
un vagón...",6 ago 2024,Todo Alicante,https://www.todoalicante.es/alicante-provincia/cinco-noticias-destacadas-lunes-agosto-alicante-20240805222611-nt.html
noticias destacadas,5,Las cinco noticias destacadas de este domingo 13 de octubre en Alicante,"TodoAlicante resume la jornada a través de cinco informaciones que han 
marcado la actualidad del día.",Hace 1 semana,Todo Alicante,https://www.todoalicante.es/alicante-provincia/cinco-noticias-destacadas-domingo-octubre-alicante-20241013203458-nt.html
noticias destacadas,6,Las cinco noticias destacadas de este jueves 17 de octubre en Alicante,"TodoAlicante recopila los temas más relevantes de la jornada con un breve 
resumen para saber qué ha pasado en la provincia.",Hace 3 días,Todo Alicante,https://www.todoalicante.es/alicante-provincia/cinco-noticias-destacadas-jueves-octubre-alicante-20241017195035-nt.html
noticias destacadas,7,"Estas son las cinco noticias destacadas de este domingo 4 de agosto en 
Alicante","Los bomberos extinguen un incendio en un descampado de Ondara. La rápida 
actuación de los bomberos ha evitado que un incendio producido en una zona 
a las...",4 ago 2024,Todo Alicante,https://www.todoalicante.es/alicante-provincia/cinco-noticias-destacadas-domingo-agosto-alicante-20240804225102-nt.html
noticias destacadas,8,Las cinco noticias destacadas de este miércoles 25 de septiembre en Alicante,"TodoAlicante recopila los temas más relevantes de la jornada con un breve 
resumen para saber qué ha pasado en la provincia.",Hace 4 semanas,Todo Alicante,https://www.todoalicante.es/alicante-provincia/cinco-noticias-destacadas-miercoles-septiembre-alicante-20240925212047-nt.html
noticias destacadas,9,Las cinco noticias más importantes de este sábado 10 de agosto en Alicante,"Un TRAM se lleva por delante otro vehículo en Dénia. La línea 9 del TRAM 
vuelve a protagonizar un accidente. En esta ocasión ha sido a la altura del 
cruce de la...",10 ago 2024,Todo Alicante,https://www.todoalicante.es/alicante-provincia/cinco-noticias-importantes-sabado-agosto-alicante-20240810215040-nt.html
noticias destacadas,10,Las cinco noticias más destacadas de este martes 15 de octubre en Alicante,"TodoAlicante recopila los temas más relevantes de la jornada con un breve 
resumen para saber qué ha pasado en la provincia.",Hace 5 días,Todo Alicante,https://www.todoalicante.es/alicante-provincia/cinco-noticias-destacadas-martes-octubre-alicante-20241015205140-nt.html
español,1,BALLET ESPAÑOL DE LA COMUNIDAD DE MADRID,"Comprar entradas para BALLET ESPAÑOL DE LA COMUNIDAD DE MADRID, información 
y venta online en Teatros del Canal en Madrid.",3 jun 2024,Teatros del Canal,https://www.teatroscanal.com/espectaculo/ballet-espanol-cam-jesus-carmona-tc2425/
español,2,Cursos de Español,"Los cursos de lengua se ofrecen en varios niveles, con un contenido 
adaptado al Marco Común Europeo de Referencia para las lenguas, y se 
complementan con...",Hace 1 mes,Universidad de La Rioja,https://www.unirioja.es/cursos-de-espanol/
español,3,"El español, su presente y futuro como lengua internacional","El español, su presente y futuro como lengua internacional ... El español 
ocupa un lugar destacado entre las lenguas internacionales: es el segundo 
idioma nativo...",11 dic 2023,Fundación Juan March,https://www.march.es/es/madrid/conferencia/espanol-su-presente-futuro-como-lengua-internacional
español,4,"El Centro Español de Metrología realizó más de 4.500 controles metrológicos 
en 2023","El Centro Español de Metrología realizó más de 4.500 controles metrológicos 
en 2023 ... Acaba de presentar su Memoria Anual correspondiente al año 
pasado donde se...",29 jul 2024,Ministerio de Industria y Turismo,https://www.mintur.gob.es/es-es/gabineteprensa/notasprensa/2024/paginas/centro-espanol-metrologia-controles-anuales-calibraciones.aspx
español,5,"El Observatorio Global del Español materializa su puesta en marcha con la 
celebración en Logroño de la primera Comisión Ejecutiva",Nota de prensa del Instituto Cervantes. 15 de Marzo de 2024.,15 mar 2024,Instituto Cervantes,https://cervantes.org/es/sobre-nosotros/sala-prensa/notas-prensa/observatorio-global-espanol-materializa-su-puesta-marcha
español,6,Farmacovigilancia de Medicamentos de Uso Humano,"Última actualización: 08 de julio de 2024 Índice Comité de Seguridad de 
Medicamentos de Uso Humano Comité Europeo de Farmacovigilancia (PRAC) 
Sistema...",8 jul 2024,Agencia Española de Medicamentos y Productos Sanitarios,https://www.aemps.gob.es/medicamentos-de-uso-humano/farmacovigilancia-de-medicamentos-de-uso-humano/
español,7,"Abierta la convocatoria 2024-2025 de Lectorados de español en universidades 
extranjeras de la AECID","Título de la noticia Abierta la convocatoria 2024-2025 de Lectorados de 
español en universidades extranjeras de la AECID · Lectorados vacantes y 
nuevos: del 8...",22 dic 2023,aecid.es,https://www.aecid.es/w/abierta-la-convocatoria-2024-2025-de-lectorados-de-espanol-en-universidades-extranjeras-de-la-aecid
español,8,"La Comunidad de Madrid impartirá Historia de España en español en los 
centros bilingües","La Comunidad de Madrid ha modificado los currículos de Primaria, Educación 
Secundaria Obligatoria y Bachillerato con el objetivo de que los contenidos 
de...",Hace 1 mes,Comunidad de Madrid |,https://www.comunidad.madrid/noticias/2024/09/04/comunidad-madrid-impartira-historia-espana-espanol-centros-bilingues
español,9,"El mundo estudia español: Bélgica, Países Bajos y Luxemburgo","Cuenta con tres capítulos dedicados a los tres países del Benelux, en los 
que se analiza la situación del español en cada uno de ellos y se presentan 
los...",8 abr 2024,Ministerio de Educación y Formación Profesional,https://www.educacionyfp.gob.es/belgica/publicaciones-materiales/el-mundo-estudia-espanol.html
