query,position,title,body,posted,source,link
all news ,1,Watch: The Download – all the top stories from across the military world,"The top news and stories from across the forces' world in the Download by 
BFBS Forces News.",Hace 3 días,Forces News,https://www.forcesnews.com/news/watch-download-all-top-stories-across-military-world
all news ,2,UN expands Haiti arms embargo to all types of weapons,"The UN Security Council is trying to crack down rising levels of gang 
violence in Haiti by extending embargo on weapons.",Hace 2 días,Al Jazeera,https://www.aljazeera.com/news/2024/10/19/un-expands-haiti-arms-embargo-to-all-types-of-weapons
all news ,3,"Bad News for Customers - Ford Authority is Removing this Feature from all 
new cars to cut Manufacturing Costs","According to a recent announcement from Kumar Galhotra, Ford's Chief 
Operating Officer, the company will no longer include its enhanced active 
park assist in...",Hace 2 días,Unión Rayo,https://unionrayo.com/us/bad-news-ford-removing-manufacturing-costs/
all news ,4,SMSD News: Fall breakfast shows community is ALL IN for Shawnee Mission,"On October 9, 2024 more than 900 guests gathered to demonstrate how they 
are 'All In' for Shawnee Mission at the annual Shawnee Mission Education 
Foundation...",Hace 2 días,Johnson County Post,https://johnsoncountypost.com/2024/10/18/smsd-news-fall-breakfast-shows-community-is-all-in-for-shawnee-mission-245130/
all news ,5,"Palestine: International law obliges Israel to end occupation, says rights 
panel","All States and international organizations, including the United Nations, 
have obligations under international law to bring to an end Israel's 
unlawful...",Hace 2 días,UN News,https://news.un.org/en/story/2024/10/1155861
all news ,6,"Meet the all-new Kindle family, including the first color Kindle","Our e-reader lineup also features a reimagined Kindle Scribe and the 
fastest Kindle Paperwhite ever.",Hace 4 días,About Amazon,https://www.aboutamazon.com/news/devices/new-kindle-color-scribe-paperwhite-entry
all news ,7,News,"Minister Blair concludes successful visit to Europe for North Atlantic 
Treaty Organization and G7 Defence Ministers' Meetings, 2024-10-20 
10:21:58...",Hace 6 días,Canada.ca,https://www.canada.ca/en/news.html
all news ,8,"Where it all began – Cram donates Moscow 1980 tracksuit to MOWA | News | 
Heritage","The generous donation of Cram's bright red Great Britain tracksuit from 
those Moscow Olympics has been such a welcome addition to the 
ever-expanding...",Hace 6 días,worldathletics.org,https://worldathletics.org/heritage/news/steve-cram-donates-moscow-1980-tracksuit-mowa
all news ,9,"Champions League all-time top scorers: Cristiano Ronaldo, Lionel Messi, 
Robert Lewandowski, Karim Benzema","Cristiano Ronaldo and Lionel Messi lead the way for Champions League goals, 
with Robert Lewandowski now clear in third. Ronaldo has netted for 
Manchester...",Hace 4 días,UEFA.com,https://www.uefa.com/uefachampionsleague/news/0257-0e910cf2494a-5185150de9d4-1000--champions-league-all-time-top-scorers-cristiano-ronaldo-/
all news ,10,"Kimmel on Trump’s all-women Fox News town hall: ‘North Korea level 
propaganda’","Late-night hosts spoke about the former president's latest appearances on 
the campaign trail and his nonsensical remarks about the economy.",Hace 3 días,The Guardian,https://www.theguardian.com/culture/2024/oct/17/kimmel-colbert-trump-campaign-economy
source,1,"En Madrid, el lujo es exclusivo o no funciona","Mad Gourmets, principal inquilino del 'food hall' de Galerías Canalejas, se 
ha declarado en concurso de acreedores tras multiplicar sus pérdidas.",Hace 2 días,EL PAÍS,https://elpais.com/espana/madrid/2024-10-19/en-madrid-el-lujo-es-exclusivo-o-no-funciona.html
source,2,"En su reconversión, las marcas de superdeportivos ya no fabrican solo 
coches: ahora construyen edificios...","Si en algún momento jugaste a 'Gran Turismo 3', seguramente el Pagani Zonda 
C12S sea uno de tus coches fetiche. También, controlar un Pagani en un...",hace 18 horas,Xataka,https://www.xataka.com/ingenieria-y-megaconstrucciones/su-reconversion-marcas-superdeportivos-no-fabrican-solo-coches-ahora-construyen-edificios-lujo
source,3,"Conozca a la nueva familia Kindle, incluido el primer Kindle a color","Nuestra línea de lectores electrónicos también cuenta con un renovado 
Kindle Scribe y el Kindle Paperwhite más rápido hasta ahora.",Hace 5 días,www.aboutamazon.com,https://www.aboutamazon.com/news/devices/kindle-color-scribe-paperwhite-entrada
source,4,La moda se enamora de los chicos buenos,"Los nuevos chicos favoritos de la moda de lujo son tan sensibles y 
emocionales que hasta se ha inventado para ellos un apelativo de género 
femenino con el...",Hace 1 día,EL PAÍS,https://elpais.com/eps/2024-10-20/la-moda-se-enamora-de-los-chicos-buenos.html
source,5,"A este usuario no le convencían las DSLR tradicionales. Así que se hizo una 
para él y ha publicado el...","Para qué me voy a comprar una cámara DSLR si me puedo hacer la mía propia? 
No es una pregunta que la mayoría de los mortales nos planteemos, pero es 
justo...",Hace 1 día,Xataka,https://www.xataka.com/fotografia-y-video/a-este-usuario-no-le-convencian-dslr-tradicionales-asi-que-se-hizo-para-ha-publicado-proyecto-como-open-source
source,6,"El futuro de la Copa del América en Barcelona: un ‘moltes gràcies’ y muchas 
incógnitas","El campeón neozelandés alaba la predisposición de las administraciones 
catalanas, pero el Ayuntamiento quiere cambiar las condiciones para seguir 
siendo...",Hace 1 día,EL PAÍS,https://elpais.com/espana/catalunya/2024-10-20/el-futuro-de-la-copa-del-america-en-barcelona-un-moltes-gracies-y-muchas-incognitas.html
source,7,"Alguien ha abierto la tumba de un gladiador romano. No había gladiador, 
pero sí otras 12 personas dentro","Las tumbas son, posiblemente, uno de los tesoros más importantes de nuestra 
historia. Son cápsulas del tiempo que nos permiten averiguar cómo era la 
vida...",hace 16 horas,Xataka,https://www.xataka.com/investigacion/apertura-tumba-gladiador-romano-caja-sorpresas-no-habia-gladiador-otras-12-personas-dentro
source,8,El éxito del ‘reframe’ de Ayuso,"A cada problema, a cada crítica, a cada ataque, la presidenta madrileña y 
su equipo logran encontrar una manera no solo de repeler la ofensiva,...",Hace 1 día,EL PAÍS,https://elpais.com/espana/2024-10-20/el-exito-del-reframe-de-ayuso.html
source,9,"A la pregunta sobre cómo se forman los árboles en las montañas más 
inaccesibles, la respuesta está en...","Se trata de una semilla muy especial que incluye un ""accesorio""que se 
asemeja a las hélices de un helicóptero. La evolución permitió que se 
desplazaran sin...",Hace 6 días,Xataka,https://www.xataka.com/ecologia-y-naturaleza/uno-grandes-misterios-naturaleza-estaba-mina-china-semilla-alada-360-millones-anos
source,10,"Los secretos del gran editor alemán de Suhrkamp: “Querido Mario, ¡Carmen 
Balcells es un dolor de cabeza!”","La venta de la editorial marca un fin de época en Alemania mientras se 
publican miles de jugosos informes y nuevas cartas del fallecido pope de la 
edición.",Hace 1 día,EL PAÍS,https://elpais.com/cultura/2024-10-20/los-secretos-del-gran-editor-aleman-de-suhrkamp-querido-mario-carmen-balcells-es-un-dolor-de-cabeza.html
link source,1,"Ojalá alguien te quiera como los agricultores quieren a los aguacates: la 
batalla por el cultivo...","A finales de 2030, el mundo producirá 12 millones de toneladas de 
aguacates. Es decir, tres veces más que en 2020. Es, no hace falta ni 
decirlo,...",Hace 4 días,Xataka,https://www.xataka.com/ecologia-y-naturaleza/gran-idea-agricultura-espanola-frente-a-sequia-salvaje-ultimos-anos-plantar-muchos-aguacates
link source,2,El Gobierno sale a pescar votos en río revuelto,"Los alfiles de la Rosada ya desembarcaron en el Congreso para negociar con 
la UCR y al bloque de Pichetto, recelosos tras el veto de Milei al 
financiami...",Hace 3 días,Página | 12,https://www.pagina12.com.ar/775577-el-gobierno-sale-a-pescar-votos-en-rio-revuelto
link source,3,"Javier Milei cuestionó a Ginés González García después de su muerte: ""Uno 
de los políticos más siniestros de nuestra historia""","El Presidente apuntó contra el exministro de Salud del gobierno de Alberto 
Fernández en la red social X.El deceso del exfuncionario, de 79 años,...",Hace 2 días,Clarin.com,https://www.clarin.com/politica/gobierno/javier-milei-cuestiono-gines-gonzalez-garcia-despues-muerte-politicos-siniestros-historia_0_Xr3KjkOwtJ.html
link source,4,"El Consejo blinda a la jueza Díaz Cordero ante la denuncia de organismos de 
DDHH","El Consejo de la Magistratura dio su primer paso para blindar a la jueza 
Agustina Díaz Cordero, quien, según el cura Javier Olivera Ravasi, habría 
parti...",Hace 5 días,Página | 12,https://www.pagina12.com.ar/774946-el-consejo-blinda-a-la-jueza-diaz-cordero-ante-la-denuncia-d
link source,5,"Elisa Carrió volvió a arremeter contra Milei: lo comparó con Martínez de 
Hoz y afirmó que Argentina atraviesa un proceso de ""pérdida de identidad""","Lo hizo durante un encuentro con comerciantes, empresarios y productores en 
la localidad de Pergamino.También le adjudicó al Presidente de ""castigar"" a 
la...",Hace 2 días,Clarin.com,https://www.clarin.com/politica/elisa-carrio-volvio-arremeter-milei-comparo-martinez-hoz-afirmo-argentina-atraviesa-proceso-perdida-identidad_0_XLr5tJqZKm.html
link source,6,Pink October: supporting women to beat breast cancer,"Breast Cancer Awareness Month, October 2024. Hear from cancer survivors and 
find out what the EU is doing to beat cancer.",Hace 4 días,European Commission,https://commission.europa.eu/news/pink-october-supporting-women-beat-breast-cancer-2024-10-16_en
link source,7,Kolo Muani scores twice as France beat Belgium in UEFA Nations League,"Randal Kolo Muani scored twice as France defeated Belgium 2-1 in the UEFA 
Nations League on Monday. Kolo Muani's penalty opener was equalized by Lois 
Openda...",Hace 6 días,France 24,https://www.france24.com/en/europe/20241014-kolo-muani-france-uefa-nations-league-belgium
link source,8,"Un sobrino de Luis Juez obtuvo un beneficio judicial y evitó la prisión por 
tenencia de pastillas de éxtasis","El informe de Telenueve Denuncia muestra los beneficios judiciales que 
obtuvo gracias al senador del PRO.",Hace 1 día,Página | 12,https://www.pagina12.com.ar/776066-un-sobrino-de-luis-juez-obtuvo-un-beneficio-judicial-y-evito
link source,9,How a Temple Killing Sparked New Canada-India Tensions,"The countries expelled each other's top diplomats Monday over an ongoing 
dispute about the killing of Sikh activist Hardeep Singh Nijjar.",Hace 5 días,Time Magazine,https://time.com/7090554/canada-india-diplomatic-relations-nijjar/
link source,10,Liam Payne's father reads tributes outside hotel,"The former One Direction star died on Wednesday after falling from a hotel 
balcony in Buenos Aires.",Hace 2 días,BBC,https://www.bbc.com/news/videos/cp95gjj0g8eo
