query,position,title,body,posted,source,link
España,1,"España, a la cola en calefacción limpia en Europa por «políticas 
obsoletas», según un informe","La calefacción y también la refrigeración son responsables entre el 10 y el 
12% de las emisiones globales de CO2.",hace 30 minutos,ABC,https://www.abc.es/antropia/espana-cola-calefaccion-limpia-europa-politicas-obsoletas-20241021102309-nt.html
España,2,"Un francés viviendo en España confiesa que ""no entiende a los españoles""","A pesar de compartir frontera, las barreras culturales con nuestros vecinos 
pueden ser más que notables.",hace 17 horas,La Razón,https://www.larazon.es/sociedad/frances-viviendo-espana-confiesa-que-entiende-espanoles_202410206715290fe2e54f000186e74e.html
España,3,"El dato que desmonta el milagro económico de España: producir más no 
siempre genera prosperidad","La economía de España se ha convertido en el motor de crecimiento de la 
zona euro.",hace 4 horas,El Economista,https://www.eleconomista.es/economia/noticias/13040050/10/24/el-dato-que-desmonta-el-milagro-economico-de-espana-producir-mas-no-siempre-genera-prosperidad.html
España,4,Confirmada la fecha: adiós al cambio de hora en España a partir de este día,,,OkDiario,https://okdiario.com/curiosidades/confirmada-fecha-adios-cambio-hora-espana-partir-este-dia-13673012
España,5,Cambio de hora en octubre: qué día comienza el horario de invierno en España,,,20Minutos,https://www.20minutos.es/noticia/5645479/0/cambio-hora-octubre-2024-horario-invierno-atrasar-adelantar-reloj/
España,6,"Cambio de hora en España: cuándo hay que cambiar el reloj y día que 
entramos en el horario de invierno",,,ABC,https://www.abc.es/sociedad/cambio-hora-espana-cuando-cambiar-reloj-dia-entramos-horario-invierno-20241019061500-nt.html
España,7,Se confirma la fecha de cambio de hora en España,,,SPORT,https://www.sport.es/es/noticias/actualidad/fecha-cambio-hora-espana-tiempo-109759240
España,8,El turismo cinematográfico despega con fuerza en España,"La consultora Lorens ya ha realizado la primera prueba piloto en Almería y 
quiere ampliar las experiencias a Madrid y Sevilla.",Hace 1 día,Cinco Días,https://cincodias.elpais.com/fortunas/2024-10-20/el-turismo-cinematografico-despega-con-fuerza-en-espana.html
España,9,"Jorge Rey avanza el tiempo que hará en España en los próximos días: lluvias 
y «mínimas de casi 0ºC» en esta...",,,ABC,https://www.abc.es/recreo/jorge-rey-avanza-tiempo-espana-proximos-dias-lluvias-minimas-zonas-20241018130802-nt.html
España,10,"Una DANA afectará a España la próxima semana: estas son las provincias en 
alerta",,,El Confidencial,https://www.elconfidencial.com/espana/2024-10-19/dana-afectara-espana-provincias-alerta_3986499/
España,11,Vuelve la lluvia a España: estas son las zonas afectadas,,,Onda Cero,https://www.ondacero.es/noticias/eltiempo/vuelve-lluvia-espana-estas-son-zonas-afectadas_202410216715d551e2e54f000187582e.html
España,12,Jorge Rey lo tiene claro: esto es lo que pasará en España los próximos días,,,OkDiario,https://okdiario.com/sociedad/jorge-rey-lo-tiene-claro-esto-lo-que-pasara-espana-proximos-dias-13670686
España,13,El sector público en España tras el Covid,"La crisis del COVID exigió una respuesta del sector público sin precedentes 
en tiempos de paz. España no fue una excepción.",hace 15 horas,El Mundo,https://www.elmundo.es/economia/macroeconomia/2024/10/20/67114b9321efa0cb588b458a.html
España,14,¿Es posible replicar 'el milagro de Viena' en España?,,,El HuffPost,https://www.huffingtonpost.es/politica/es-posible-replicar-el-milagro-viena-espana.html
España,15,Los cuellos de botella en la oferta de vivienda en España,,,Cinco Días,https://cincodias.elpais.com/economia/2024-10-21/los-cuellos-de-botella-en-la-oferta-de-vivienda-en-espana.html
España,16,"Los pueblos más felices de España, ¿cuáles son y cómo es vivir aquí?",,,Idealista,https://www.idealista.com/news/inmobiliario/vivienda/2024/10/20/819270-los-pueblos-mas-felices-de-espana-cuales-son-y-como-es-vivir-aqui
España,17,La lección que España puede aprender de China en materia de vivienda,,,ABC,https://www.abc.es/internacional/leccion-espana-puede-aprender-china-materia-vivienda-20241019110000-nt.html
España,18,"La Armada da un serio aviso: España necesita urgentemente ocho submarinos y 
solo tiene uno","España, tal y como afirma un capitán de fragata en un artículo, se 
encuentra en una situación crítica.",hace 5 horas,El HuffPost,https://www.huffingtonpost.es/politica/la-armada-da-serio-aviso-espana-necesita-urgentemente-ocho-submarinos.html
España,19,Concentración de la Plataforma por la España Constitucional,,,Agencia EFE,https://efe.com/espana/2024-10-20/concentracion-elecciones-ya-plataforma-espana-constitucional/
España,20,"Federico a las 6: La España anti sánchez sigue movilizada sin nadie que la 
capitalice",,,esRadio,https://esradio.libertaddigital.com/fonoteca/2024-10-21/federico-a-las-6-la-espana-anti-sanchez-sigue-movilizada-sin-nadie-que-la-capitalice-p20-s1701483-7176410.html
España,21,Una insinuación y una emboscada,,,El Mundo,https://www.elmundo.es/espana/2024/10/19/6713d00de85ece4c098b456f.html
España,22,"Derecha y ultraderecha reúnen a 25.000 personas en Madrid para exigir 
elecciones ya",,,EL PAÍS,https://elpais.com/espana/2024-10-20/miles-de-personas-se-manifiestan-en-madrid-contra-los-casos-de-corrupcion-que-achacan-al-gobierno-del-psoe.html
Internacional,1,"Conflicto en Oriente Próximo, en directo | Un enviado de EE UU viaja este 
lunes a Beirut para mediar un alto el fuego entre Israel y Hezbolá","Israel pide como condición para la tregua que sus tropas “participen 
activamente” para evitar que la milicia chií se rearme,...",EN TIEMPO REAL,EL PAÍS,https://elpais.com/internacional/2024-10-21/conflicto-en-oriente-proximo-en-directo.html
Internacional,2,"Moreno Ocampo, exfiscal de la Corte Penal Internacional: ""La utopía es 
pensar que con guerra podemos sobrevivir""","Presenta en 'Herrera en COPE' su libro 'Guerra o Justicia: el fin de la 
impunidad' y, además, realiza una fotografía de los diversos...",hace 59 minutos,COPE,https://www.cope.es/programas/herrera-en-cope/audios/moreno-ocampo-exfiscal-corte-penal-internacional-utopia-pensar-guerra-sobrevivir-20241021_3031415.html
Internacional,3,"Jaume Collboni: ""Barcelona tiene que ejercer de capital española, la más 
internacional""","El alcalde de Barcelona, Jaume Collboni, conversa con EL MUNDO acerca de 
los temas que marcan la actualidad nacional.",hace 9 horas,El Mundo,https://www.elmundo.es/cataluna/2024/10/21/671526f6fc6c83dc768b457e.html
Internacional,4,"Activan alerta internacional ante un animal que campa a sus anchas en 
España y es fuente de enfermedades para humanos","'En toda Europa ha fomentado conflictos entre humanos y vida silvestre, 
incluida la transmisión de patógenos emergentes'.",Hace 2 días,El HuffPost,https://www.huffingtonpost.es/sociedad/activan-alerta-internacional-animal-campa-anchas-espana-fuente-enfermedades-humanos.html
Internacional,5,"Comienza en Alicante el Congreso Internacional sobre Estellés con cerca de 
200 inscritos","A lo largo de hoy lunes y mañana martes, la Universidad de Alicante acoge 
el I Congreso Internacional sobre Vicent Andrés Estellés,...",hace 6 horas,La Vanguardia,https://www.lavanguardia.com/local/valencia/20241021/10032845/comienza-alicante-congreso-internacional-sobre-estelles-cerca-200-inscritos.html
Internacional,6,Catarroja triunfa con su LII Concurso Internacional de Allipebre,"Miles de personas se congregan en el Puerto de Catarroja para celebrar el 
emblemático concurso, que contó con la presencia de autoridades y...",hace 23 horas,Las Provincias,https://www.lasprovincias.es/horta/catarroja-triunfa-lii-concurso-internacional-allipebre-20241020120141-nt.html
Internacional,7,"Jordi Valls califica de “éxito” la Copa America por la proyección 
internacional de Barcelona","El teniente de alcalde de Economía deja en el aire que la ciudad vuelva a 
albergar el evento, pendiente de una conversación con Grant...",Hace 1 día,El Español,https://metropoliabierta.elespanol.com/economia/20241020/jordi-valls-califica-de-exito-la-copa-america-por-proyeccion-internacional-barcelona/894910506_0.html
Internacional,8,"Virginia Bazán Gil, elegida presidenta de la Federación Internacional de 
Archivos de Televisión (FIAT/IFTA)","Virginia Bazán Gil, directora del Archivo de RTVE, elegida presidenta de la 
Federación Internacional de Asociaciones de Archivos de...",Hace 1 día,RTVE.es,https://www.rtve.es/rtve/20241019/virginia-bazan-gil-elegida-presidenta-federacion-internacional-archivos-television-fiat-ifta/16294890.shtml
Internacional,9,"Recuperan en Arrasate tres motocicletas robadas en una competición 
internacional de enduro celebrada en Pontevedra","La Ertzaintza ha detenidos a dos hombres de 41 y 49 años tras ser 
sorprendidos en la AP-1 con los vehículos ya desmontados en un remolque.",Hace 2 días,El Diario Vasco,https://www.diariovasco.com/alto-deba/arrasate/recuperan-arrasate-tres-motocicletas-robadas-competicion-internacional-20241018170124-nt.html
