query,position,title,body,posted,source,link
Inicio,1,El épico nepotismo de LeBron James marca el inicio de la NBA,"La leyenda quería retirarse junto a su hijo y lo conseguirá, pese a que la 
NBA rechaza las aptitudes de su retoño.",hace 12 horas,ABC,https://www.abc.es/deportes/baloncesto/epico-nepotismo-lebron-james-marca-inicio-nba-20241021042251-nt.html
Inicio,2,"El Meteocat advierte de inestabilidad para el inicio de semana y señala el 
día más lluvioso","La inestabilidad meteorológica será la protagonista durante el arranque de 
semana en Catalunya. Las nubes serán abundantes y habrá lluvias,...",hace 9 horas,La Vanguardia,https://www.lavanguardia.com/natural/20241021/10037586/meteocat-advierte-inestabilidad-inicio-semana-senala-dia-mas-lluvioso-pmv.html
Inicio,3,"Escribá firma el mejor inicio de un entrenador en el Granada en la última 
década","La victoria ante el Tenerife (4-0) ratifica el gran arranque del técnico, 
que iguala los números alcanzados por José Ramón Sandoval en la...",Hace 1 día,Granada Hoy,https://www.granadahoy.com/granadacf/escriba-firma-mejor-inicio-entrenador_0_2002601768.html
Inicio,4,"El Castellón firma el mejor inicio de temporada de los equipos recién 
ascendidos","CASTELLÓ (EFE). La victoria del Castellón ante el Levante UD (2-0), le 
permite al equipo orellut situarse como el mejor clasificado entre...",hace 22 horas,Castellón Plaza,https://castellonplaza.com/el-castellon-firma-el-mejor-inicio-de-temporada-de-los-equipos-recien-ascendidos
Inicio,5,"El accidentado inicio del GP de los Estados Unidos en la F1: cambio en la 
punta, abandono de Hamilton y un choque","Charles Leclerc ganó la primera ubicación, el británico terminó en la grava 
y Alex Albon golpeó a Esteban Ocon.",hace 16 horas,Infobae,https://www.infobae.com/deportes/2024/10/20/el-accidentado-inicio-del-gp-de-los-estados-unidos-en-la-f1-cambio-en-la-punta-abandono-de-hamilton-y-un-choque/
Inicio,6,"En el ‘Amazonas’ y en medio de cantos indígenas, se inició la COP16: pasar 
de las palabras a los hechos fue el llamado central","La inauguración contó con cinco actos culturales, en los que la diversidad 
del país se unió al unísono para hacer un llamado por la...",hace 14 horas,ELTIEMPO.COM,https://www.eltiempo.com/vida/medio-ambiente/en-el-amazonas-y-en-medio-de-cantos-indigenas-inicio-la-cop16-pasar-de-las-palabras-a-los-hechos-fue-el-llamado-central-3391966
Inicio,7,"Corte de tráfico en la calle Tornería de Jerez por el inicio de obras en 
Puerta Sevilla-Puerta Santiago","Jerez/El Ayuntamiento de Jerez informa que, con motivo del inicio de las 
'obras de reordenación y urbanización del eje viario Puerta...",Hace 2 días,Diario de Jerez,https://www.diariodejerez.es/jerez/corte-trafico-torneria-jerez-inicio-obras_0_2002596488.html
Inicio,8,"Shakira pospone el inicio de su gira 'Las Mujeres Ya No Lloran' por esta 
poderosa razón","La cantante compartió con sus fans que todos los shows programados para 
Estados Unidos serán reagendados para mayo de 2025...",Hace 1 día,¡HOLA!,https://www.hola.com/us-es/celebrities/20241019725124/shakira-gira-pospone/
Inicio,9,El inicio de un maratón determinante,"La Real arranca este sábado en Girona una serie de siete partidos en 
veintidós días con la obligación de sumar puntos tanto en Liga como...",Hace 2 días,El Diario Vasco,https://www.diariovasco.com/real-sociedad/inicio-maraton-determinante-20241019001309-nt.html
Inicio,10,"Seis partidos de Izan Almansa en Australia. ¿Está siendo decepcionante su 
inicio?","La andadura de Izan Almansa por Australia acaba de empezar y ya lleva seis 
partidos en la NBL con los Perth Wildcats.",Hace 1 día,Solobasket,https://www.solobasket.com/internacional/izan-almansa-inicio-australia
Inicio,11,‘Don Pasquale’ saca una sonrisa al inicio de temporada de ABAO,"La escena resultó bien planteada, situando la acción en un pequeño negocio 
familiar de hostelería, con Don Pasquale como dueño de la...",hace 4 horas,Ópera Actual,https://www.operaactual.com/critica/don-pasquale-saca-una-sonrisa-al-inicio-de-temporada-de-abao/
Inicio,12,"Paso definitivo para el inicio de las obras de rehabilitación del Teatro 
Romano de Cádiz","Los trabajos ya se han licitado con un presupuesto base de 2.414.286,78 
euros y un plazo de ejecución de 20 meses.",hace 3 horas,La voz de Cádiz,https://www.lavozdigital.es/provincia/cadiz/paso-definitivo-inicio-obras-rehabilitacion-teatro-romano-20241021124440-ntv.html
Inicio,13,Buen inicio de temporada para los equipos de La Vega Voley,"Buenas sensaciones para los equipos del club, con actuaciones destacadas y 
un fuerte espíritu competitivo. El inicio de la temporada de...",hace 1 hora,Las 4 Esquinas,https://las4esquinas.com/buen-inicio-de-temporada-para-los-equipos-de-la-vega-voley/
Inicio,14,"Sidenor dice que el inicio de las negociaciones con Talgo es un paso más e 
insta a trabajar con discreción","BILBAO, 21 (EUROPA PRESS) Sidenor considera ""un paso más"" la decisión del 
consejo de administración de Talgo de iniciar negociaciones con el...",hace 1 hora,Forbes España,https://forbes.es/economia/523115/sidenor-dice-que-el-inicio-de-las-negociaciones-con-talgo-es-un-paso-mas-e-insta-a-trabajar-con-discrecion/
Inicio,15,Retiro intercultural de inicio de curso en Larrabetzu,"El retiro, que se inició con un momento de acogida y la presentación de los 
simbolos que cada persona sueña para este curso,",hace 6 horas,Diócesis de Bilbao,https://bizkeliza.org/noticia/retiro-intercultural-de-inico-de-curso-en-larrabetzu/
Inicio,16,"Buen lunes, con 10ºC de inicio","Así amanece el lunes 21 de octubre de 2024 -Día de Santa Úrsula- en el 
entorno de la Plaza del Riego de Cangas del Narcea.",hace 9 horas,Onda Cero,https://www.ondacero.es/emisoras/asturias/noticias/buen-lunes-10c-inicio_202410216715e137afcb530001bcf77c.html
Inicio,17,Un mal inicio condena al Cervantes en Guadalajara,"Las ciudadrealeñas perdieron (68-43) en la segunda jornada de Primera 
Nacional Femenina, mientras que el Grupo 76 se impuso al CEI Toledo...",hace 2 horas,La Tribuna de Ciudad Real,https://www.latribunadeciudadreal.es/noticia/zd5d7e089-fba2-7248-feaecaace30f7b2f/202410/un-mal-inicio-condena-al-cervantes-en-guadalajara
Inicio,18,"Miguel García-Baró: ""Es el inicio de una reparación real""","Sobre el plan del Gobierno para indemnizar a las víctimas, el coordinador 
del proyecto opina que ""hay que ayudar de mil maneras,...",hace 10 horas,RTVE.es,https://www.rtve.es/play/audios/las-mananas-de-rne-josep-cuni/mananas-rne-josep-cuni-miguel-garcia-baro-esto-inicio-reparacion-real/16296011/
Inicio,19,"Inicio de conversaciones para un nuevo acotado micológico en Campo Charro y 
Ciudad Rodrigo","La diputada de Medio Ambiente Pilar inicia conversaciones con una veintena 
de representantes municipales de estas comarcas.",hace 7 horas,Noticias Ciudad Rodrigo,https://noticiasciudadrodrigo.com/2024/10/21/inicio-de-conversaciones-para-un-nuevo-acotado-micologico-en-campo-charro-y-ciudad-rodrigo/
Inicio,20,"Chivite anuncia el inicio de un proceso de diálogo para reformar la Ley 
Foral de Renta Garantizada","PAMPLONA 21 Oct. (EUROPA PRESS) -. La presidenta de Navarra, María Chivite, 
ha anunciado el inicio de un proceso de reflexión para reformar...",hace 2 horas,Europa Press,https://www.europapress.es/navarra/noticia-chivite-anuncia-inicio-proceso-dialogo-reformar-ley-foral-renta-garantizada-20241021141408.html
Inicio,21,Caja Rural CB Zamora rompe marcas en este inicio de temporada,"Caja Rural CB Zamora gana tres de sus primeros cuatro partidos en el inicio 
de la Liga Regular y lo consigue por cuarta vez en los últimos...",hace 4 horas,El Día de Zamora,https://eldiadezamora.es/art/61105/caja-rural-cb-zamora-rompe-marcas-en-este-inicio-de-temporada
Inicio,22,"El albiazul Panichelli impulsa el mejor inicio de la historia del Mirandés 
en Segunda","El conjunto de Anduva es segundo, en puestos de ascenso directo a Primera, 
tras 10 jornadas con los tres goles del '9' cedido por el Alavés...",hace 2 horas,El Correo,https://www.elcorreo.com/alaves/albiazul-panichelli-impulsa-mejor-inicio-historia-mirandes-20241021141144-nt.html
Inicio,23,El Ibex retrocede en vísperas del inicio de sus resultados,"La rebaja de tipos aprobada en China da inicio a una semana cargada de 
resultados. La nueva temporada de presentación de cuentas...",hace 8 horas,Expansión,https://www.expansion.com/mercados/cronica-bolsa/2024/10/21/6715eb90468aebd95b8b4595.html
Inicio,24,Inicio del plazo de adhesión a la campaña ‘Bons Menorca 2024’,"La Asociación de Comerciantes de Menorca (ASCOME), con el patrocinio y 
colaboración del Consell Insular de Menorca y PIME Menorca,...",hace 5 horas,COPE,https://www.cope.es/emisoras/illes-balears/baleares/menorca/cope-menorca/noticias/inicio-plazo-adhesion-campana-bons-menorca-2024-20241021_3031483.html
Inicio,25,"Mañana y el miércoles habrá lluvias de hasta 100 l/m2 en la Comunidad 
Valenciana: hora de inicio y zonas más afectadas","En los próximos días se esperan lluvias y tormentas localmente fuertes en 
varias comarcas de la Comunidad Valenciana. Pueden caer más de 100...",hace 3 horas,El tiempo 14 días - Meteored,https://www.tiempo.com/noticias/prediccion/manana-y-el-miercoles-habra-lluvias-de-hasta-100-l-m2-en-la-comunidad-valenciana-hora-de-inicio-y-zonas-mas-afectadas.html
Inicio,26,GBP/USD: La debilidad desde el inicio del mes termina – UOB Group,"Es probable que la Libra esterlina (GBP) se negocie lateralmente entre 
1.3010 y 1.3070. A largo plazo, la debilidad desde el inicio del mes...",hace 5 horas,FXStreet,https://www.fxstreet.es/news/gbp-usd-la-debilidad-desde-el-inicio-del-mes-termina-uob-group-202410210941
Inicio,27,Laredo inicia las obras de mejora de la calle Marqués de Comillas,"La renovación de la red de saneamiento y el asfaltado se ejecutará en un 
plazo de seis meses con un presupuesto de 210.991 euros.",hace 3 horas,El Diario Montañés,https://www.eldiariomontanes.es/region/laredo/comienzan-obras-calle-marques-comillas-20241021121113-nt.html
Inicio,28,"Inminente inicio de las obras en la gran promoción de pisos en la antigua 
sede del Colegio de Médicos de Cá...","El proyecto Cervantes 12 contempla la construcción de 27 viviendas de 1, 2 
y 3 dormitorios desde 180.000, 273.500 y 434.000 euros.",hace 9 horas,La voz de Cádiz,https://www.lavozdigital.es/provincia/cadiz/inminente-inicio-obras-gran-promocion-pisos-antigua-20241018145422-ntv.html
Inicio,29,"El PSOE denuncia que las Escuelas Infantiles de Albacete llevan sin 
servicio de medicina desde el inicio del curso","El concejal del Grupo Municipal Socialista José González ha expresado su 
preocupación por el hecho de que “las Escuelas Infantiles llevan...",hace 53 minutos,Masquealba,https://www.masquealba.com/noticias/albacete/item/69588-el-psoe-denuncia-que-las-escuelas-infantiles-de-albacete-llevan-sin-servicio-de-medicina-desde-el-inicio-del-curso.html
Inicio,30,Inicio de semana anticiclónico,"De momento se mantiene bastante firme el anticiclón y aunque tendremos que 
seguir atentos al avance de un nuevo frente que asoma ya por el...",hace 9 horas,Canal Extremadura,http://www.canalextremadura.es/noticias/meteorologia/incio-de-semana-anticiclonico
Inicio,31,"Dar los primeros pasos: registro, inicio de sesión y cumplimentación de 
datos en 1win","Aprende a registrarte, llenar tus datos y personalizar tu cuenta en 1win. 
Sigue estos simples pasos para optimizar tu perfil y acceder...",hace 1 hora,Economía de Mallorca,https://www.economiademallorca.com/articulo/afterwork-lifestyle-deporte-y-cultura/dar-primeros-pasos-registro-inicio-sesion-cumplimentacion-datos-1win/20241021144554099548.html
Inicio,32,Las siete historias que marcan el inicio de la nueva temporada de la NBA,"Los Boston Celtics mantienen intacto su bloque campeón y aspiran a iniciar 
un reinado tras un verano sin apenas grandes fichajes.",hace 4 horas,El Diario Vasco,https://www.diariovasco.com/deportes/baloncesto/nba/siete-historias-marcan-inicio-nueva-temporada-nba-20241021121601-ntrc.html
Inicio,33,"Inicio de la nueva temporada de juegos escolares para el Club Frontenis San 
Vicente","El Club Frontenis San Vicente ha dado inicio a una nueva temporada de los 
juegos escolares de frontenis con mucho entusiasmo y grandes...",hace 8 horas,Somos L'Alacantí,https://somoslalacanti.com/2024/10/21/noticias-san-vicente-del-raspeig/inicio-de-la-nueva-temporada-de-juegos-escolares-para-el-club-frontenis-san-vicente/
