query,position,title,body,posted,source,link
España,1,"Esta estafa ya tiene los datos de miles de personas en España: así puedes 
evitarla","El número de teléfono que ha puesto en alerta a la Policía Nacional: aviso 
inmediato.",hace 24 minutos,El Periódico,https://www.elperiodico.com/es/sociedad/20241021/estafa-datos-miles-personas-espana-dv-109938253
España,2,Así piden los catalanes un café en Cataluña: en España no lo entienden,"Algunos catalanes tampoco conocen este concepto; Más información: Así se 
prepara la sopa favorita de las abuelas catalanas: una receta fácil...",hace 31 minutos,Crónica Global,https://cronicaglobal.elespanol.com/vida/20241021/asi-piden-cafe-catalanes-cataluna-espana-entienden/895160506_0.html
España,3,"El Gobierno ultima la reforma que facilitará la residencia y el permiso de 
trabajo a decenas de miles de extranjeros","El Gobierno de España sigue, de momento, su propia estela en materia 
migratoria. Mientras Bruselas apuesta por complicar el día a día de los...",hace 6 horas,EL PAÍS,https://elpais.com/espana/2024-10-21/el-gobierno-ultima-la-reforma-que-facilitara-la-residencia-y-el-trabajo-a-decenas-de-miles-de-extranjeros.html
España,4,"Un francés viviendo en España confiesa que ""no entiende a los españoles""","A pesar de compartir frontera, las barreras culturales con nuestros vecinos 
pueden ser más que notables.",hace 17 horas,La Razón,https://www.larazon.es/sociedad/frances-viviendo-espana-confiesa-que-entiende-espanoles_202410206715290fe2e54f000186e74e.html
España,5,"El dato que desmonta el milagro económico de España: producir más no 
siempre genera prosperidad","La economía de España se ha convertido en el motor de crecimiento de la 
zona euro.",hace 5 horas,El Economista,https://www.eleconomista.es/economia/noticias/13040050/10/24/el-dato-que-desmonta-el-milagro-economico-de-espana-producir-mas-no-siempre-genera-prosperidad.html
España,6,"Una estadounidense que vive en España, sin palabras con el estilismo de la 
gente en nuestro país: «Todas la...","Los choques culturales son casi inevitables cuando una persona se traslada 
a vivir a un lugar con costumbres y estilos de vida diferentes.",hace 4 horas,ABC,https://www.abc.es/recreo/estadounidense-vive-espana-palabras-estilismo-gente-pais-20241021070000-nt.html
España,7,"Jorge Rey avanza el tiempo que hará en España en los próximos días: lluvias 
y «mínimas de casi 0ºC» en esta...",,,ABC,https://www.abc.es/recreo/jorge-rey-avanza-tiempo-espana-proximos-dias-lluvias-minimas-zonas-20241018130802-nt.html
España,8,"Una DANA afectará a España la próxima semana: estas son las provincias en 
alerta",,,El Confidencial,https://www.elconfidencial.com/espana/2024-10-19/dana-afectara-espana-provincias-alerta_3986499/
España,9,Vuelve la lluvia a España: estas son las zonas afectadas,,,Onda Cero,https://www.ondacero.es/noticias/eltiempo/vuelve-lluvia-espana-estas-son-zonas-afectadas_202410216715d551e2e54f000187582e.html
España,10,Jorge Rey lo tiene claro: esto es lo que pasará en España los próximos días,,,OkDiario,https://okdiario.com/sociedad/jorge-rey-lo-tiene-claro-esto-lo-que-pasara-espana-proximos-dias-13670686
España,11,El sector público en España tras el Covid,"La crisis del COVID exigió una respuesta del sector público sin precedentes 
en tiempos de paz. España no fue una excepción.",hace 16 horas,El Mundo,https://www.elmundo.es/economia/macroeconomia/2024/10/20/67114b9321efa0cb588b458a.html
España,12,"Los pueblos más felices de España, ¿cuáles son y cómo es vivir aquí?","España posee verdaderas maravillas donde es un placer residir, ¿pero cuáles 
son los 5 pueblos más felices de España?",hace 18 horas,Idealista,https://www.idealista.com/news/inmobiliario/vivienda/2024/10/20/819270-los-pueblos-mas-felices-de-espana-cuales-son-y-como-es-vivir-aqui
España,13,"Parece Venecia pero está en España: el pueblo de los puentes que hay que 
visitar una vez en la vida","Este es el pueblo con puentes que hay que visitar una vez en la vida, te 
parecerá que estás en Venecia, pero en realidad estarás en España.",Hace 2 días,OkDiario,https://okdiario.com/curiosidades/parece-venecia-pero-esta-espana-pueblo-puentes-que-hay-que-visitar-vez-vida-13663838
España,14,La España que madruga 21/10/2024,"Repaso de los principales titulares de la prensa nacional, internacional, 
económica y deportiva, con Rubén Amón, Daniel Ramírez García-Mina,...",hace 3 horas,Onda Cero,https://www.ondacero.es/programas/mas-de-uno/audios-podcast/opinion-masdeuno/espana-madruga/espana-que-madruga-21102024_202410216715eeba596dfb0001cb691b.html
España,15,"España es el principal destino de inversión hotelera de Europa, con el 25% 
del total","España recibió el 25% del total de las inversiones hoteleras en la Unión 
Europea en 2023, con 4.200 millones de euros, consolidándose como...",hace 2 horas,Agenttravel.es,https://www.agenttravel.es/noticia-056022_Espana-es-el-principal-destino-de-inversion-hotelera-de-Europa-con-el-25-del-total.html
España,16,"Conoce a los seis leoneses nominados a mejor médico de España en su 
especialidad","Las buenas notas que les han puesto sus pacientes son el motivo de su 
nominación, «un reconocimiento al esfuerzo»",hace 3 horas,Leonoticias,https://www.leonoticias.com/leon/conoce-seis-leoneses-nominados-mejor-medico-espana-20241019082101-nt.html
