query,position,title,body,posted,source,link
para,1,"Muriqi, un regreso perfecto para un Mallorca que no para de crecer","El 'pirata' volvió al equipo tras un mes de lesión protagonizando uno de 
sus 'martillazos' para dormir toda la jornada en Europa.",hace 20 minutos,Marca.com,https://www.marca.com/futbol/mallorca/2024/10/21/muriqi-regreso-perfecto-mallorca-crecer.html
para,2,"Intervienen en Chiclana una red de grandes dimensiones para la caza furtiva 
de aves protegidas","La Policía autonómica ha rescatado a una docena de jilgueros El Seprona de 
Cádiz intensifica su lucha contra la caza ilegal de pajaritos.",hace 30 minutos,Diario de Cádiz,https://www.diariodecadiz.es/chiclana/intervienen-chiclana-red-grandes-dimensiones-caza-furtiva-aves-protegidas_0_2002605988.html
para,3,"Jota Jordi suelta esta bomba en directo para hacer arder al madridismo: 
Pedrerol no podía creerlo","El tertuliano del Chiringuito está tan seguro de la victoria del Barça el 
próximo sábado en el Camp Nou que hasta se atrevió con esta...",hace 3 horas,Diario AS,https://as.com/futbol/videos/jota-jordi-suelta-esta-bomba-en-pleno-directo-para-hacer-arder-al-madridismo-pedrerol-no-podia-creerlo-v/
para,4,Demoledor doblete de Ferrari y fatídica sanción para Norris en Austin,,,El Mundo,https://www.elmundo.es/deportes/formula-1/2024/10/20/67153920fdddff91588b4570.html
para,5,"Sainz: ""Espero que haya más oportunidades para lograr la última victoria 
con Ferrari""",,,Marca.com,https://www.marca.com/motor/formula1/gp-eeuu/2024/10/20/67157c9b22601d4c448b459e.html
para,6,Colapinto bromea con su trabajo para la F1 2025 si no tiene asiento,,,Motorsport.com España,https://es.motorsport.com/f1/news/colapinto-broma-trabajo-ideal-no-asiento-2025/10665189/
para,7,"Sorpresa para los fanáticos de la Fórmula 1: este piloto confiesa que nunca 
ha tenido coche",,,Motor EL PAÍS,https://motor.elpais.com/videos2/sorpresa-para-los-fanaticos-de-la-formula-1-este-piloto-confiesa-que-nunca-ha-tenido-coche/
para,8,"El referéndum en Moldavia para blindar la vía hacia la adhesión a la UE 
vence con una ligera ventaja","Moldavia denuncia un ataque “sin precedentes” de “fuerzas extranjeras” en 
la consulta para reformar la Constitución, cuyo escrutinio casi ha...",hace 14 horas,EL PAÍS,https://elpais.com/internacional/2024-10-20/el-referendum-europeista-profundiza-la-division-en-moldavia-candidata-a-entrar-en-la-ue.html
para,9,"Adiós al transporte público gratuito para todos: estos serán los únicos 
beneficiarios que tendrán descuentos en 2025","El descuento en el transporte público finaliza este año, aunque desde el 
Gobierno aseguran que se crearán nuevas medidas para determinados...",hace 5 horas,20Minutos,https://www.20minutos.es/lainformacion/economia/adios-transporte-publico-gratuito-unicos-beneficiarios-2025-5645298/
para,10,"Duro golpe familiar para Paz Padilla tras la repentina muerte de su hermano 
Luis","La presentadora y actriz ha cancelado un acto que tenía en Tarragona al 
enterarse de la pérdida del que era su 'ojito derecho',...",hace 13 horas,¡HOLA!,https://www.hola.com/actualidad/20241020725184/paz-padilla-muere-hermano-luis/
para,11,"Melilla sustituye los festivos de San José y la Hispanidad para celebrar el 
final del Ramadán","La Ciudad Autónoma ya ha publicado en el BOE el calendario laboral para el 
año 2025.",hace 15 horas,La Razón,https://www.larazon.es/espana/melilla-sustituye-festivos-san-jose-hispanidad-celebrar-final-ramadan_2024102067153bcee2e54f000186f735.html
para,12,"El director de la primera película censurada en democracia resucita para 
reivindicar las películas que no hizo","Fernando Ruiz Vergara vivió la censura de su documental 'Rocío' y el cine 
español se perdió la carrera de un cineasta prometedor.",hace 13 horas,elDiario.es,https://www.eldiario.es/cultura/cine/director-primera-pelicula-censurada-democracia-resucita-reivindicar-peliculas-no-hizo_1_11747865.html
para,13,"Las farmacias navarras sufren desabastecimiento del principal medicamento 
para el TDAH","Las farmacias navarras llevan varias semanas con desabastecimiento de 
Concerta, uno de los principales medicamentos para tratar el TDAH...",hace 13 horas,Noticias de Navarra,https://www.noticiasdenavarra.com/actualidad/2024/10/20/farmacias-navarras-sufren-desabastecimiento-principal-8829843.html
para,14,"Ayudas en el año 2024 para la creación de Aulas Mentor dependientes del 
Programa Aula Mentor","Extracto de la Resolución de diez de octubre de dos mil veinticuatro de la 
Secretaría General de Formación Profesional, por la que se...",hace 2 horas,"Injuve, Instituto de la Juventud.",https://www.injuve.es/convocatorias/becas/ayudas-en-el-ano-2024-para-la-creacion-de-aulas-mentor-dependientes-del-programa-aula-mentor
para,15,Puntos para David Jiménez,"David Jiménez suma méritos para subir al primer equipo, en ausencia de 
Carvajal. Brilló ante el Alcorcón y marcó un golazo de falta.",hace 1 hora,Diario AS,https://as.com/futbol/primera/puntos-para-david-jimenez-n/
para,16,"La izquierda populista y la extrema derecha presionan para que Alemania se 
aleje de Ucrania","La pujanza del nuevo partido de Sahra Wagenknecht y AfD da alas a los 
partidarios de negociar con Rusia y detener la ayuda al país agredido.",hace 5 horas,EL PAÍS,https://elpais.com/internacional/2024-10-21/la-izquierda-populista-y-la-extrema-derecha-presionan-para-que-alemania-se-aleje-de-ucrania.html
para,17,"Abierto el plazo para participar en el concurso de carteles para anunciar 
el ‘Neguko solstizioa-San Tomas Eguna’","La Comisión del Solsticio de invierno-Santo Tomás ya ha comenzado a 
trabajar y, como en años anteriores, ha convocado el VII concurso de...",hace 1 hora,Herribizia,https://herribizia.errenteria.eus/es/2024/10/21/abierto-el-plazo-para-participar-en-el-concurso-de-carteles-para-anunciar-el-neguko-solstizioa-san-tomas-eguna/
para,18,"El Gobierno publica en el BOE la convocatoria para la selección de 26 
plazas de Policía Local","Un total de 21 de estas plazas va destinado al sistema de acceso de turno 
libre, mientras que las cinco restantes quedan reservadas para...",hace 13 minutos,Ayuntamiento de Chiclana,https://www.chiclana.es/noticias/detalle-noticia/el-gobierno-publica-en-el-boe-la-convocatoria-para-la-seleccion-de-26-plazas-de-policia-local
para,19,"Congreso Lares 2024: Avanzando hacia una atención de calidad para las 
personas mayores","El Congreso Lares 2024, organizado por el Grupo Social Lares, se celebró 
del 16 al 18 de octubre en la Facultad de Ciencias de la...",hace 1 hora,SEGG,https://www.segg.es/actualidad-segg/2024/10/21/congreso-lares-2024-avanzando-hacia-una-atencion-de-calidad-para-las-personas-mayores
para,20,"El Ayuntamiento licita un proyecto de 240.000 euros para actualizar sus 
plataformas de gestión municipal","El Ayuntamiento licita un proyecto de 240.000 euros para actualizar sus 
plataformas de gestión municipal. Publicado por Prensa Publicado el...",hace 52 minutos,Ayuntamiento de la Villa de Santa Brígida,https://www.santabrigida.es/el-ayuntamiento-licita-un-proyecto-de-240-000-euros-para-actualizar-sus-plataformas-de-gestion-municipal/
para,21,"Valencia CF cifra en 140 millones la inversión necesaria para finalizar el 
Nou Mestalla","El Nou Mestalla se reactiva. Valencia CF ha presentado el proyecto para la 
finalización del Nou Mestalla, con una inversión que ronda los...",hace 1 hora,Palco23,https://www.palco23.com/clubes/valencia-cf-cifra-en-140-millones-la-inversion-necesaria-para-finalizar-el-nou-mestalla
para,22,"La Junta de Gobierno aprueba destinar 2,8 millones de euros para el 
servicio de catering en los centros de acogida municipales","La Junta de Gobierno del Ayuntamiento de Las Palmas de Gran Canaria ha 
aprobado esta semana destinar 2.894.874,40 euros para el servicio de...",hace 44 minutos,Ayuntamiento de Las Palmas de Gran Canaria.,https://www.laspalmasgc.es/es/ayuntamiento/prensa-y-comunicacion/notas-de-prensa/nota-de-prensa/La-Junta-de-Gobierno-aprueba-destinar-28-millones-de-euros-para-el-servicio-de-catering-en-los-centros-de-acogida-municipales/
para,23,"El Archivo Municipal recibe una subvención de Conselleria para la 
digitalización documental histórica","Crevillent (21/10/2024).- El Archivo Municipal Clara Campoamor recibe una 
subvención de la Conselleria de Educación y Cultura de 2.942,63 €...",hace 1 hora,Ayuntamiento de Crevillent,https://crevillent.es/el-archivo-municipal-recibe-una-subvencion-de-conselleria-para-la-digitalizacion-documental-historica/
para,24,"Flick: ""La vuelta de Gavi es muy importante para el equipo""","El entrenador del Barcelona, Hansi Flick, ha asegurado que la reaparición 
del centrocampista Pablo Páez Gavira 'Gavi' este domingo en la...",hace 53 minutos,Onda Cero,https://www.ondacero.es/deportes/futbol/flick-vuelta-gavi-muy-importante-equipo_202410216716044ae2e54f0001877a1d.html
para,25,Gemini Live ya habla español: Google ya tiene listo su rival para ChatGPT,"Google lleva meses con su rival para el modo conversación de ChatGPT. Se 
llama Gemini Live, y podía utilizarse en inglés en cualquier móvil...",hace 1 hora,Xataka,https://www.xataka.com/aplicaciones/gemini-live-habla-espanol-google-tiene-listo-su-rival-para-chatgpt
para,26,"10 normativas que afectan a tu pyme: guía completa para cumplir con la 
regulación","Descubre las 10 normativas que afectan a las pymes en nuestro país y los 
recursos útiles para ayudarte a navegar en este nuevo contexto.",hace 5 minutos,Pacto Mundial,https://www.pactomundial.org/noticia/10-normativas-que-afectan-a-tu-pyme-guia-completa-para-cumplir-con-la-regulacion/
para,27,"La consejera de Justicia y Derechos Humanos anuncia nuevas medidas para 
mejorar la accesibilidad y modernización del sistema judicial","San José avanza que se van a destinar más recursos para la Justicia 
Gratuita y se van a propiciar medios alternativos de resolución de...",hace 32 minutos,Irekia,https://www.irekia.euskadi.eus/es/news/96472-consejera-justicia-derechos-humanos-anuncia-nuevas-medidas-para-mejorar-accesibilidad-modernizacion-del-sistema-judicial
para,28,"Talgo decide iniciar negociaciones con Sidenor para ""una posible 
transacción"" tras evaluar su propuesta","El grupo industrial vasco Sidenor comunicó la semana pasada al fabricante 
ferroviario Talgo su intención de entrar en su capital,...",hace 1 hora,EITB,https://www.eitb.eus/es/noticias/economia/detalle/9609176/talgo-decide-iniciar-negociaciones-con-sidenor-para-una-posible-transaccion-tras-evaluar-su-propuesta/
