query,position,title,body,posted,source,link
Local ,1,Las Jornadas de Administración Local vuelven a Benavites,"Cargos públicos, políticos y expertos en gestión local participarán en el 
evento.",hace 22 minutos,Levante-EMV,https://www.levante-emv.com/morvedre/2024/10/21/jornadas-administracion-local-vuelven-benavites-politicos-jornada-109063216.html
Local ,2,"Una hamburguesería ocupará el icónico local de El Savoy de la calle 
Covadonga de Gijón","Su actual arrendatario, el carismático Javier Egocheaga, apagará allí la 
música y las luces de neón tras el puente de Todos los Santos.",hace 10 horas,El Comercio,https://www.elcomercio.es/gijon/hamburgueseria-ocupara-iconico-local-savoy-calle-covadonga-20241021223309-nt.html
Local ,3,El viejo nuevo jefe de la Policía Local de Conil,"Se trata de Francisco Luis González Fernández, una persona muy conocida en 
el cuerpo y en la localidad Fue condenado en 2016 por apropiarse...",hace 5 horas,Diario de Cádiz,https://www.diariodecadiz.es/noticias-provincia-cadiz/viejo-nuevo-jefe-policia-local-conil_0_2002576458.html
Local ,4,El Pasaje: un local que triunfa cada mañana con su pincho de tortilla,"Papas, huevos, mucha práctica y experiencia se conjugan cada mañana en esta 
cafetería para servir uno de los mejores pinchos en Las Palmas...",Hace 2 días,Canarias7,https://www.canarias7.es/gastronomia-c7/apuntes-de-barra/pasaje-local-triunfa-manana-pincho-tortilla-20241019092226-nt.html
Local ,5,"La Policía Local de Algeciras investiga a un conductor que atropelló a una 
mujer bajo los efectos de la droga","Algeciras/La Policía Local de Algeciras están investigando a un hombre por 
presuntos delitos contra la seguridad vial y de lesiones por...",hace 16 horas,Europa Sur,https://www.europasur.es/algeciras/policia-local-investiga-conductor-atropello-mujer-droga_0_2002604733.html
Local ,6,Producto local reconocido en Alsasua,"Tradiciones. Producto local reconocido en Alsasua. Alsasua celebró este 
domingo el concurso caballar de ganaderos de Sakana y disfrutó de la...",hace 15 horas,diariodenavarra.es,https://www.diariodenavarra.es/noticias/navarra/zona-norte/2024/10/20/producto-local-reconocido-alsasua-626168-1009.html
Local ,7,"KFC busca trabajadores para su nuevo local en Cádiz con salarios hasta de 
1.500 euros al mes","La conocida marca estadounidense desembarcará en la capital gaditana, en 
concreto en la Plaza de San Juan de Dios, en los próximos meses.",Hace 1 día,La voz de Cádiz,https://www.lavozdigital.es/provincia/cadiz/kfc-busca-trabajadores-nuevo-local-cadiz-salarios-20241019190500-ntv.html
Local ,8,"La Policía Local de Sevilla comprará un nuevo test de drogas y dos 
sonómetros","El narcotest permitirá identificar hasta seis tipos de sustancias con una 
muestra de saliva Cada policía local de Sevilla cobrará 8.000...",Hace 1 día,Diario de Sevilla,https://www.diariodesevilla.es/sevilla/policia-local-sevilla-comprara-nuevo_0_2002512688.html
Local ,9,El comercio local de Huétor Vega desfila en su alfombra roja,"La pasarela fue el plato fuerte de la Feria de Otoño celebrada este sábado 
en Huerta Cercada gracias a la iniciativa de la concejalía de...",hace 24 horas,Ideal,https://huetorvega.ideal.es/fotos/comercio-local-huetor-vega-desfila-alfombra-roja-20241020122628-ga.html
Local ,10,"Catorce medallas para la Policía Local de Arrecife en los Juegos Europeos 
de Policías y Bomberos","La Policía Local de Arrecife ha representado a la capital de Lanzarote con 
un equipo de tres agentes (dos policías y un subcomisario) en los...",hace 14 horas,La Voz de Lanzarote,https://www.lavozdelanzarote.com/deportes/catorce-medallas-policia-local-arrecife-en-juegos-europeos-policias-bomberos_230063_102.html
